PIDM,Cohort,SEX,Degree,Major 1,1st Year GPA,Dorm,1st Year Retention,College,Total Earned Hours,SAT,Major 2,Advisor
1,202109F,M,BS,Mechanical Engineering,2.49,Campion Hall,1,SEC,36,,,1.0
2,202109F,M,BS,Biology,3.18,Commuter,1,CAS,47,,,2.0
3,202109F,M,BS,Chemistry,2.86,Regis Hall,1,CAS,46,,,3.0
4,202109F,M,BS,DSB Undeclared,3.84,Gonzaga Hall,1,DSB,45,1300.0,,4.0
5,202109F,M,BS,Management,2.69,Commuter,1,DSB,42,,,5.0
6,202109F,M,BS,Marketing,3.45,Campion Hall,1,DSB,42,,,6.0
7,202109F,F,BS,Nursing,2.39,Campion Hall,1,EGAN,35,,,7.0
8,202109F,M,BS,Information Systems & Ops Mgmt,3.83,Loyola Hall,1,DSB,56,1200.0,,8.0
9,202109F,F,BS,DSB Undeclared,3.19,Jogues Hall,1,DSB,45,,,9.0
10,202109F,M,BA,Undeclared,2.9,Campion Hall,1,CAS,48,,,10.0
11,202109F,M,BS,Computer Science,2.01,Campion Hall,1,SEC,35,1380.0,,11.0
12,202109F,M,BS,Computer Science,2.42,Campion Hall,1,SEC,38,1350.0,,11.0
13,202109F,F,BA,Undeclared,3.9,Jogues Hall,1,CAS,39,1370.0,,12.0
14,202109F,M,BS,DSB Undeclared,2.91,Jogues Hall,1,DSB,42,,,13.0
15,202109F,M,BS,Mechanical Engineering,3.61,Campion Hall,1,SEC,55,1380.0,,14.0
16,202109F,M,BS,Computer Science,3.28,Campion Hall,1,SEC,53,,,1.0
17,202109F,M,BA,Communication,3.18,Regis Hall,1,CAS,45,,,15.0
18,202109F,M,BS,DSB Undeclared,3.69,Regis Hall,1,DSB,45,1260.0,,16.0
19,202109F,F,BS,Nursing,3.39,Campion Hall,1,EGAN,60,,,17.0
20,202109F,M,BA,Undeclared,2.31,Gonzaga Hall,1,CAS,39,,,18.0
21,202109F,F,BA,Undeclared,3.15,Regis Hall,1,CAS,42,,,19.0
22,202109F,F,BS,Nursing,3.01,Loyola Hall,1,EGAN,29,,,20.0
23,202109F,F,BS,Nursing,3.0,Loyola Hall,1,EGAN,26,,,20.0
24,202109F,M,BS,Management,0.25,Gonzaga Hall,0,DSB,3,,,21.0
25,202109F,M,BS,DSB Undeclared,3.16,Regis Hall,1,DSB,45,,,22.0
26,202109F,F,BS,Psychology,3.77,Regis Hall,1,CAS,47,,,23.0
27,202109F,F,BA,Undeclared,3.56,Gonzaga Hall,1,CAS,45,,,12.0
28,202109F,F,BA,Undeclared,3.42,Regis Hall,1,CAS,46,,,24.0
29,202109F,F,BA,Undeclared,2.93,Loyola Hall,1,CAS,42,,,10.0
30,202109F,F,BS,Nursing,2.28,Regis Hall,1,EGAN,41,,,25.0
31,202109F,F,BS,Social Work,2.89,Jogues Hall,1,EGAN,47,,,26.0
32,202109F,F,BS,International Business,3.29,Loyola Hall,1,DSB,45,,,27.0
33,202109F,M,BS,DSB Undeclared,2.98,Gonzaga Hall,1,DSB,45,,,28.0
34,202109F,M,BA,English,3.15,Gonzaga Hall,0,CAS,27,,,29.0
35,202109F,F,BS,Nursing,3.71,Campion Hall,0,EGAN,17,1260.0,,30.0
36,202109F,F,BS,Nursing,3.94,Gonzaga Hall,1,EGAN,53,1350.0,,30.0
37,202109F,F,BS,Biology,3.82,Campion Hall,1,CAS,49,,,31.0
38,202109F,M,BS,Marketing,4.0,Jogues Hall,0,DSB,39,,,32.0
39,202109F,M,BS,Biology,2.82,Campion Hall,1,CAS,52,,,33.0
40,202109F,F,BA,Communication,3.82,Regis Hall,1,CAS,48,,,34.0
41,202109F,M,BA,Undeclared,3.14,Regis Hall,1,CAS,48,,,11.0
42,202109F,F,BS,Nursing,3.98,Loyola Hall,1,EGAN,49,1510.0,,35.0
43,202109F,F,BS,DSB Undeclared,3.98,Loyola Hall,1,DSB,49,,,36.0
44,202109F,F,BS,Nursing,3.86,Gonzaga Hall,1,EGAN,48,,,37.0
45,202109F,F,BS,DSB Undeclared,3.4,Regis Hall,1,DSB,54,,,38.0
46,202109F,F,BA,American Studies,3.98,Commuter,1,CAS,45,,,39.0
47,202109F,F,BS,Nursing,3.8,Regis Hall,1,EGAN,49,,,4.0
48,202109F,M,BS,Management,2.8,Loyola Hall,0,DSB,30,,,40.0
49,202109F,M,BS,Marketing,3.67,Jogues Hall,1,DSB,48,1220.0,,41.0
50,202109F,F,BA,Undeclared,2.67,Regis Hall,0,CAS,12,,,42.0
51,202109F,F,BA,Undeclared,3.87,Regis Hall,1,CAS,45,,,43.0
52,202109F,F,BA,Undeclared,3.18,Loyola Hall,1,CAS,45,,,36.0
53,202109F,M,BS,Business Analytics,3.2,Gonzaga Hall,1,DSB,45,1130.0,,44.0
54,202109F,M,BS,DSB Undeclared,3.14,Loyola Hall,1,DSB,42,,,45.0
55,202109F,M,BS,DSB Undeclared,3.11,Regis Hall,1,DSB,45,1250.0,,22.0
56,202109F,M,BS,Psychology,3.33,Jogues Hall,1,CAS,42,1100.0,,7.0
57,202109F,F,BA,English,3.71,Loyola Hall,1,CAS,45,1290.0,,42.0
58,202109F,F,BS,Psychology,2.78,Jogues Hall,1,CAS,46,1110.0,,46.0
59,202109F,F,BA,English,3.98,Gonzaga Hall,1,CAS,62,1380.0,,47.0
60,202109F,F,BS,DSB Undeclared,3.71,Regis Hall,1,DSB,45,,,6.0
61,202109F,M,BS,Finance,3.27,Gonzaga Hall,1,DSB,45,1160.0,,48.0
62,202109F,F,BA,Communication,2.95,Gonzaga Hall,1,CAS,45,,,49.0
63,202109F,F,BS,Nursing,4.0,Regis Hall,1,EGAN,61,1220.0,,50.0
64,202109F,F,BS,Nursing,3.86,Campion Hall,1,EGAN,49,,,51.0
65,202109F,M,BA,International Studies,3.52,Gonzaga Hall,1,CAS,42,,,52.0
66,202109F,F,BS,Marketing,3.76,Loyola Hall,1,DSB,49,,,4.0
67,202109F,M,BS,Accounting,2.64,Jogues Hall,1,DSB,42,,,53.0
68,202109F,F,BA,History,2.62,Regis Hall,1,CAS,45,,,15.0
69,202109F,M,BS,Finance,3.71,Regis Hall,1,DSB,51,,,13.0
70,202109F,F,BS,Marketing,3.33,Loyola Hall,1,DSB,48,,,36.0
71,202109F,F,BS,Finance,3.75,Regis Hall,1,DSB,55,1350.0,,54.0
72,202109F,M,BS,Nursing,4.0,Jogues Hall,1,EGAN,66,1460.0,,55.0
73,202109F,M,BS,DSB Undeclared,3.81,Regis Hall,1,DSB,46,,,9.0
74,202109F,F,BA,Communication,3.84,Gonzaga Hall,1,CAS,62,1190.0,,56.0
75,202109F,F,BA,Undeclared,3.85,Jogues Hall,1,CAS,61,,,57.0
76,202109F,M,BS,Information Systems & Ops Mgmt,3.85,Loyola Hall,0,DSB,33,1240.0,,3.0
77,202109F,F,BA,Undeclared,2.89,Gonzaga Hall,1,CAS,45,,,49.0
78,202109F,F,BS,Nursing,3.34,Gonzaga Hall,1,EGAN,48,,,51.0
79,202109F,F,BS,Nursing,3.54,Regis Hall,1,EGAN,48,,,35.0
80,202109F,F,BS,Nursing,3.26,Loyola Hall,1,EGAN,48,,,35.0
81,202109F,F,BS,Nursing,3.78,Gonzaga Hall,1,EGAN,48,,,30.0
82,202109F,F,BA,Undeclared,3.4,Campion Hall,1,CAS,48,1200.0,,12.0
83,202109F,F,BS,DSB Undeclared,2.62,Loyola Hall,1,DSB,39,,,58.0
84,202109F,F,BS,DSB Undeclared,3.4,Gonzaga Hall,0,DSB,30,,,28.0
85,202109F,F,BS,Accounting,3.65,Regis Hall,1,DSB,46,1340.0,,59.0
86,202109F,M,BS,Biomedical Engineering,3.77,Regis Hall,1,SEC,74,1350.0,,60.0
87,202109F,F,BS,DSB Undeclared,3.62,Regis Hall,1,DSB,45,1210.0,,40.0
88,202109F,M,BS,Finance,3.58,Jogues Hall,1,DSB,48,,,54.0
89,202109F,F,BS,Marketing,3.27,Regis Hall,1,DSB,45,,,41.0
90,202109F,M,BA,History,3.14,Regis Hall,1,CAS,37,,,61.0
91,202109F,F,BS,Nursing,3.55,Regis Hall,1,EGAN,55,,,35.0
92,202109F,F,BS,Marketing,3.36,Gonzaga Hall,1,DSB,45,,,62.0
93,202109F,M,BS,Finance,3.36,Jogues Hall,1,DSB,46,,,63.0
94,202109F,F,BS,Nursing,1.07,Jogues Hall,0,EGAN,19,,,64.0
95,202109F,F,BS,Nursing,3.49,Gonzaga Hall,1,EGAN,48,1320.0,,35.0
96,202109F,F,BS,Psychology,3.37,Campion Hall,1,CAS,50,,,65.0
97,202109F,M,BA,Sports Media,1.84,Gonzaga Hall,0,CAS,9,1270.0,,18.0
98,202109F,M,BS,DSB Undeclared,3.78,Jogues Hall,1,DSB,45,1260.0,,66.0
99,202109F,F,BS,Nursing,2.96,Jogues Hall,1,EGAN,41,,,12.0
100,202109F,F,BS,Nursing,3.18,Regis Hall,1,EGAN,55,,,67.0
101,202109F,F,BS,Psychology,3.64,Regis Hall,1,CAS,45,,,65.0
102,202109F,F,BS,Business Analytics,3.81,Gonzaga Hall,1,DSB,67,,,68.0
103,202109F,M,BS,Finance,3.64,Jogues Hall,1,DSB,45,,,69.0
104,202109F,F,BA,Undeclared,4.0,Loyola Hall,1,CAS,45,1320.0,,65.0
105,202109F,F,BA,Communication,4.0,Campion Hall,1,CAS,60,1380.0,,10.0
106,202109F,M,BA,Undeclared,3.53,Loyola Hall,1,CAS,45,,,39.0
107,202109F,F,BA,Undeclared,4.0,Campion Hall,1,CAS,52,,,59.0
108,202109F,M,BS,International Business,3.05,Jogues Hall,1,DSB,39,,,27.0
109,202109F,M,BS,Finance,3.31,Regis Hall,1,DSB,45,,,48.0
110,202109F,F,BS,Marketing,3.53,Regis Hall,1,DSB,45,,,49.0
111,202109F,M,BS,Finance,3.36,Jogues Hall,1,DSB,60,,,70.0
112,202109F,F,BS,Nursing,3.58,Regis Hall,1,EGAN,55,1200.0,,55.0
113,202109F,F,BS,Finance,2.56,Jogues Hall,0,DSB,30,,,70.0
114,202109F,F,BS,Nursing,3.23,Jogues Hall,1,EGAN,49,,,50.0
115,202109F,F,BS,Nursing,3.32,Gonzaga Hall,1,EGAN,49,,,17.0
116,202109F,F,BS,Marketing,3.44,Regis Hall,1,DSB,45,,,36.0
117,202109F,M,BA,Undeclared,2.91,Regis Hall,1,CAS,42,,,71.0
118,202109F,M,BS,DSB Undeclared,3.67,Gonzaga Hall,1,DSB,49,1280.0,,72.0
119,202109F,M,BS,Finance,3.27,Gonzaga Hall,1,DSB,45,,,73.0
120,202109F,M,BS,DSB Undeclared,3.12,Loyola Hall,0,DSB,24,,,72.0
121,202109F,M,BS,DSB Undeclared,3.09,Jogues Hall,1,DSB,45,,,21.0
122,202109F,F,BA,Undeclared,3.7,Regis Hall,1,CAS,57,,,74.0
123,202109F,F,BA,Communication,3.87,Campion Hall,1,CAS,45,,,49.0
124,202109F,F,BS,Nursing,3.8,Loyola Hall,1,EGAN,52,,,75.0
125,202109F,F,BA,Undeclared,3.53,Commuter,1,CAS,54,,,49.0
126,202109F,F,BS,Nursing,2.98,Regis Hall,1,EGAN,51,,,51.0
127,202109F,M,BS,DSB Undeclared,3.67,Gonzaga Hall,1,DSB,46,,,69.0
128,202109F,F,BA,Communication,4.0,Jogues Hall,1,CAS,45,1390.0,,10.0
129,202109F,M,BA,Program on the Environment,2.82,Loyola Hall,1,CAS,45,,,27.0
130,202109F,M,BS,DSB Undeclared,2.98,Jogues Hall,1,DSB,42,,,76.0
131,202109F,F,BS,Marketing,3.0,Regis Hall,1,DSB,39,,,4.0
132,202109F,F,BA,Undeclared,3.53,Gonzaga Hall,1,CAS,45,,,77.0
133,202109F,F,BS,Nursing,2.94,Jogues Hall,1,EGAN,46,,,30.0
134,202109F,M,BS,DSB Undeclared,3.49,Regis Hall,1,DSB,45,1240.0,,21.0
135,202109F,F,BA,Undeclared,3.02,Gonzaga Hall,1,CAS,45,,,78.0
136,202109F,F,BS,Nursing,3.01,Campion Hall,1,EGAN,49,,,30.0
137,202109F,F,BS,Public Health,3.62,Loyola Hall,1,EGAN,42,,,56.0
138,202109F,F,BA,Visual & Performing Arts,2.66,Regis Hall,1,CAS,41,1100.0,,79.0
139,202109F,F,BS,Nursing,3.35,Regis Hall,1,EGAN,48,,,80.0
140,202109F,F,BS,Nursing,2.74,Gonzaga Hall,1,EGAN,39,,,46.0
141,202109F,F,BS,Biology,3.08,Jogues Hall,1,CAS,57,,,81.0
142,202109F,M,BS,DSB Undeclared,3.67,Loyola Hall,1,DSB,46,,,53.0
143,202109F,F,BS,DSB Undeclared,3.86,Gonzaga Hall,1,DSB,46,1230.0,,28.0
144,202109F,F,BS,Finance,4.0,Jogues Hall,1,DSB,68,1370.0,,82.0
145,202109F,F,BA,Politics,3.5,Regis Hall,0,CAS,33,,,83.0
146,202109F,F,BS,Nursing,3.42,Gonzaga Hall,1,EGAN,49,1280.0,,84.0
147,202109F,M,BS,DSB Undeclared,3.82,Jogues Hall,1,DSB,48,,,53.0
148,202109F,F,BS,Management,3.85,Gonzaga Hall,1,DSB,53,,,85.0
149,202109F,M,BS,DSB Undeclared,3.49,Gonzaga Hall,1,DSB,45,1200.0,,28.0
150,202109F,F,BS,Marketing,3.43,Gonzaga Hall,1,DSB,45,,,6.0
151,202109F,F,BS,Psychology,4.0,Gonzaga Hall,1,CAS,54,1300.0,,86.0
152,202109F,F,BS,DSB Undeclared,3.38,Gonzaga Hall,1,DSB,48,,,6.0
153,202109F,F,BS,Marketing,3.13,Regis Hall,1,DSB,45,,,4.0
154,202109F,F,BS,Nursing,2.3,Regis Hall,0,EGAN,30,,,50.0
155,202109F,M,BS,DSB Undeclared,3.73,Jogues Hall,1,DSB,45,,,3.0
156,202109F,M,BA,Undeclared,3.05,Loyola Hall,1,CAS,42,,,87.0
157,202109F,F,BS,DSB Undeclared,3.22,Gonzaga Hall,1,DSB,45,,,88.0
158,202109F,M,BS,Nursing,2.92,Campion Hall,1,EGAN,50,,,51.0
159,202109F,F,BS,Marketing,3.19,Jogues Hall,1,DSB,42,,,15.0
160,202109F,M,BS,DSB Undeclared,2.96,Regis Hall,1,DSB,45,,,80.0
